Field (Oe)	Temperature (K)	Long Moment (emu)	Long Reg Fit
4017.465	40.00016	-0.00414	0.98927
4521.091	40.00016	-0.00559	0.98989
5025.74	39.99868	-0.00586	0.99109
5528.342	40.0009	-0.00608	0.9911
6029.192	39.99868	-0.00623	0.99128
6534.572	40.0009	-0.00646	0.99153
7036.443	40.00016	-0.00665	0.99159
7538.024	39.99942	-0.00679	0.99169
8040.92	40.0009	-0.00692	0.98928
8543.084	39.99942	-0.00701	0.99176
9043.935	39.99868	-0.00713	0.992
9548.291	39.99868	-0.0072	0.9921
10050.31	40.0009	-0.00726	0.99227
10551.75	40.00016	-0.00728	0.99233
11053.77	40.00016	-0.00728	0.99175
11556.37	39.99868	-0.00732	0.9899
12058.97	40.00016	-0.00718	0.98076
12562.45	39.99942	-0.00726	0.99271
13063.3	40.00016	-0.00718	0.98826
13565.61	39.99942	-0.00714	0.99155
14068.5	40.00016	-0.00737	0.93734
14569.94	40.00016	-0.007	0.99003
15073.71	40.00016	-0.00699	0.98486
15575.44	39.99942	-0.00688	0.98742
16077.16	40.00016	-0.00679	0.99265
16579.76	39.99942	-0.00673	0.98143
17081.78	39.99942	-0.00661	0.99177
17583.8	39.99942	-0.00641	0.99338
18084.95	40.0009	-0.00637	0.99314
18589.01	40.00016	-0.00619	0.99281
19090.15	40.00016	-0.00613	0.98923
19594.21	39.99942	-0.00598	0.99077
20093.17	39.99942	-0.00587	0.99253
20599.43	40.00016	-0.0058	0.97883
21098.38	40.00016	-0.00575	0.9844
21603.17	39.99942	-0.00552	0.99215
22107.24	40.00016	-0.00545	0.97996
22609.1	39.99942	-0.00523	0.96993
23110.25	39.99942	-0.00539	0.94217
23612.13	40.0009	-0.00522	0.9516
24111.8	39.99942	-0.00449	0.99131
24618.79	40.00016	-0.00434	0.98207
25120.66	40.0009	-0.00473	0.97155
25623.27	39.99942	-0.00462	0.97619
26124.41	40.00016	-0.00458	0.97704
26626.28	40.00016	-0.00429	0.93957
27127.43	39.99942	-0.0044	0.91744
27632.95	40.00016	-0.0043	0.89366
28132.63	39.99942	-0.00441	0.88574
28637.43	40.00016	-0.00407	0.90443
29139.29	40.0009	-0.00369	0.91941
29640.44	40.00016	-0.00388	0.98811
30143.77	39.99942	-0.0037	0.91177
30644.92	40.00016	-0.0037	0.93717
31146.79	39.99942	-0.0035	0.78764
31647.93	40.00016	-0.00344	0.94133
32152.73	40.00016	-0.00346	0.96509
32658.25	40.00016	-0.00293	0.88906
33159.39	40.0009	-0.00311	0.89709
33663.45	39.99942	-0.00283	0.97094
34164.59	40.0009	-0.00262	0.97572
34664.27	40.00016	-0.00286	0.90894
35171.26	39.99942	-0.00188	0.45751
35668.02	40.00016	-0.00266	0.78732
36171.36	40.00016	-0.00284	0.69066
36673.96	39.99942	-0.00275	0.75655
37175.83	39.99942	-0.00323	0.68207
37679.16	40.00016	-0.00275	0.70737
38181.77	40.00016	-0.00273	0.89086
38683.64	39.99942	-0.00201	0.70479
45216.76	39.99942	-0.00609	0.48665
46207.35	39.99868	2.37251E-4	0.88389
46718.72	40.0009	-0.00154	0.98161
47222.78	40.0009	-0.00186	0.92088
47734.15	40.00016	-0.00171	0.95614
48235.29	40.00016	-0.00175	0.97987
48730.59	40.00016	-0.00157	0.83773
49240.51	40.00016	-0.00174	0.88889
49735.79	40.0009	-0.00165	0.9747
50238.41	39.99868	-0.00167	0.84865
50746.85	40.00016	-0.0013	0.92507
51250.91	40.00016	-0.00157	0.96714
51747.67	39.99942	-0.0016	0.86143
52256.12	40.00016	-0.00124	0.97368
52752.88	40.0009	-0.00153	0.9659
53255.48	40.0009	-0.00151	0.9282
53763.93	40.0009	-0.00129	0.85749
54265.07	40.00016	-0.00144	0.95814
54770.59	40.0009	-0.00144	0.9449
55265.9	40.00016	-0.00119	0.96432
55774.34	39.99942	-0.00123	0.93752
56278.4	40.00016	-0.00125	0.9217
56773.71	40.0009	-0.00118	0.96228
57276.3	39.99868	-0.00119	0.94001
57784.75	40.00016	-0.00111	0.87415
58280.05	39.99942	-0.00109	0.9631
58791.41	40.00016	-0.00132	0.94858
59292.56	40.00016	-0.00113	0.95418
59793.71	39.99942	-0.00122	0.82266
60297.77	39.99942	-0.00122	0.83803
60798.92	40.00016	-0.00134	0.88581
61301.52	40.00016	-0.00106	0.76733
61799.74	39.99942	-0.00109	0.7381
62302.34	40.0009	-0.00128	0.82043
62810.78	40.00164	-0.00117	0.92587
63307.55	40.00016	-0.0012	0.90987
63808.68	40.0009	-0.00114	0.92923
64312.75	39.99942	-0.00114	0.9297
64821.21	40.00016	-0.00127	0.7794
65315.04	39.99942	-0.00108	0.95268
65827.87	40.00016	-0.00131	0.82837
66323.16	40.0009	-0.0011	0.87529
66831.6	40.0009	-0.00126	0.92349
67325.45	39.99942	-0.00124	0.81267
67830.97	40.00016	-0.0013	0.79445
68339.42	40.0009	-0.0012	0.88181
68844.95	40.0009	-0.00114	0.90636
69337.32	40.0009	-0.00113	0.74228
69839.93	40.0009	-0.00139	0.73366
70354.23	40.00016	-0.00107	0.78579
69822.39	39.99942	-9.19673E-4	0.933
69313.95	39.99942	-8.50659E-4	0.92548
68818.65	40.0009	-8.26954E-4	0.9527
68299.97	40.0009	-8.23405E-4	0.94626
67795.91	40.00016	-8.02264E-4	0.95093
67291.84	39.99942	-7.84401E-4	0.9211
66790.7	39.99942	-7.63051E-4	0.86195
66308.55	39.99868	-7.25787E-4	0.9366
65304.8	39.99794	-7.05693E-4	0.93891
64305.44	40.00016	-6.62336E-4	0.94459
63300.25	39.99942	-6.376E-4	0.93546
62295.04	40.0009	-6.12756E-4	0.93497
61285.44	40.00016	-5.78439E-4	0.92327
60286.08	40.00016	-5.38208E-4	0.92035
59277.95	39.99942	-4.84075E-4	0.92951
58271.29	39.99942	-4.28241E-4	0.93158
57273.38	40.0009	-5.44941E-4	0.93567
56265.25	40.00016	-3.49281E-4	0.90462
55264.43	39.99868	-3.02291E-4	0.89415
54250.45	40.0009	-2.55286E-4	0.8802
53254.02	39.99942	-2.26343E-4	0.86834
52248.82	39.99942	-1.89804E-4	0.85619
51243.61	40.00164	-1.00904E-5	0
50239.86	40.0009	-2.03544E-4	0.82791
49234.65	40.00016	2.11618E-4	0.87847
48223.61	40.0009	1.69736E-4	0.88034
47224.24	40.0009	3.89612E-4	0.92414
46220.49	40.00016	2.36628E-4	0.88164
45215.3	39.99942	5.39455E-4	0.9426
44205.7	40.00016	6.30398E-4	0.9521
43203.42	40.00016	5.16122E-4	0.9393
42198.21	40.00016	8.75791E-4	0.96539
41193.73	39.99942	0.001	0.96967
40191.45	40.0009	8.48888E-4	0.96193
39185.52	40.00016	0.00124	0.97475
38183.96	40.00016	0.00136	0.97681
37178.02	39.99868	0.00145	0.97742
36173.55	39.99942	0.00165	0.98031
35166.15	40.00016	0.0018	0.98155
34160.94	40.00016	0.00172	0.98067
33156.47	40.00016	0.00217	0.98402
32154.92	40.00016	0.00234	0.98335
31146.79	39.99942	0.00254	0.986
30142.31	40.0009	0.00276	0.98641
29140.76	40.0009	0.00292	0.98673
28135.55	40.00016	0.0031	0.98704
27127.42	40.00016	0.00334	0.9878
26122.22	39.99942	0.00356	0.98812
25118.47	40.00016	0.00378	0.98845
24113.26	40.00016	0.00369	0.98759
23110.98	39.99942	0.00429	0.98752
22104.31	40.0009	0.00453	0.98923
21101.3	40.00016	0.00481	0.9896
20097.55	40.00016	0.00506	0.98802
19093.07	40.00016	0.00529	0.98972
18084.22	39.99942	0.00555	0.98989
17085.29	40.0009	0.00576	0.98993
16081.25	39.99942	0.006	0.98999
15076.05	40.00016	0.00617	0.99002
14071.42	39.99942	0.00636	0.99018
13066.8	40.00016	0.00654	0.99022
12063.65	39.99942	0.00662	0.99033
11056.69	39.99942	0.0067	0.99036
10052.94	40.00016	0.00664	0.98925
9048.026	40.0009	0.00651	0.99042
8043.549	39.99942	0.00635	0.99055
7040.389	40.00016	0.00605	0.9905
6034.306	39.99942	0.00571	0.99066
5031.438	39.99942	0.00529	0.99068
4025.501	39.99942	0.00482	0.99077
3019.272	39.99942	0.0043	0.99093
2015.234	40.0009	0.0037	0.99111
1011.343	40.00016	0.00311	0.99106
4.09096	40.00016	0.00508	0.98987
-1011.781	39.99942	0.00394	0.98815
-69844.3	40.0009	8.99653E-4	0.94832
-69837.01	40.0009	8.96853E-4	0.89173
-1009.882	40.00016	-0.00266	0.98991
-3.21432	40.00016	-0.00515	0.98981
1010.759	39.99942	-0.00395	0.988
2014.65	39.99942	-0.00436	0.9872
3019.126	40.00016	-0.00491	0.98769
4025.062	39.99942	-0.0054	0.98742
5030.561	40.0009	-0.00585	0.98801
